SessionID,WindowNumber,WindowEnd,WindowStart
10066902,0.0,1396227060527,1396227050527
10066902,1.0,1396227070527,1396227060527
10066902,2.0,1396227080527,1396227070527
10066902,3.0,1396227090527,1396227080527
10066902,4.0,1396227100527,1396227090527
10066902,5.0,1396227110527,1396227100527
10066902,6.0,1396227120527,1396227110527
10066902,7.0,1396227130527,1396227120527
10066902,8.0,1396227140527,1396227130527
10066902,9.0,1396227150527,1396227140527
10066902,10.0,1396227160527,1396227150527
10066902,11.0,1396227170527,1396227160527
10066902,12.0,1396227180527,1396227170527
10066902,13.0,1396227190527,1396227180527
10066902,14.0,1396227200527,1396227190527
10066902,15.0,1396227210527,1396227200527
10066902,16.0,1396227220527,1396227210527
10066902,17.0,1396227230527,1396227220527
10066902,18.0,1396227240527,1396227230527
10066902,19.0,1396227250527,1396227240527
10066902,20.0,1396227260527,1396227250527
10066902,21.0,1396227270527,1396227260527
10066902,22.0,1396227280527,1396227270527
10066902,23.0,1396227290527,1396227280527
10066902,24.0,1396227300527,1396227290527
10066902,25.0,1396227310527,1396227300527
10066902,26.0,1396227320527,1396227310527
10066902,27.0,1396227330527,1396227320527
10066902,28.0,1396227340527,1396227330527
10066902,29.0,1396227350527,1396227340527
10066902,30.0,1396227360527,1396227350527
10066902,31.0,1396227370527,1396227360527
10066902,32.0,1396227380527,1396227370527
10066902,33.0,1396227390527,1396227380527
10066902,34.0,1396227400527,1396227390527
10066902,35.0,1396227410527,1396227400527
10066902,36.0,1396227420527,1396227410527
10066902,37.0,1396227430527,1396227420527
10066902,38.0,1396227440527,1396227430527
10066902,39.0,1396227450527,1396227440527
10066902,40.0,1396227460527,1396227450527
10066902,41.0,1396227470527,1396227460527
10066902,42.0,1396227480527,1396227470527
10066902,43.0,1396227490527,1396227480527
10066902,44.0,1396227500527,1396227490527
10066902,45.0,1396227510527,1396227500527
10066902,46.0,1396227520527,1396227510527
10066902,47.0,1396227530527,1396227520527
10066902,48.0,1396227540527,1396227530527
10066902,49.0,1396227550527,1396227540527
10066902,50.0,1396227560527,1396227550527
10066902,51.0,1396227570527,1396227560527
10066902,52.0,1396227580527,1396227570527
10066902,53.0,1396227590527,1396227580527
10066902,54.0,1396227600527,1396227590527
10066902,55.0,1396227610527,1396227600527
10066902,56.0,1396227620527,1396227610527
10066902,57.0,1396227630527,1396227620527
10066902,58.0,1396227640527,1396227630527
10066902,59.0,1396227650527,1396227640527
10066902,60.0,1396227660527,1396227650527
10066902,61.0,1396227670527,1396227660527
10066902,62.0,1396227680527,1396227670527
10066902,63.0,1396227690527,1396227680527
10066902,64.0,1396227700527,1396227690527
10066902,65.0,1396227710527,1396227700527
10066902,66.0,1396227720527,1396227710527
10066902,67.0,1396227730527,1396227720527
10066902,68.0,1396227740527,1396227730527
10066902,69.0,1396227750527,1396227740527
10066902,70.0,1396227760527,1396227750527
10066902,71.0,1396227770527,1396227760527
10066902,72.0,1396227780527,1396227770527
10066902,73.0,1396227790527,1396227780527
10066902,74.0,1396227800527,1396227790527
10066902,75.0,1396227810527,1396227800527
10066902,76.0,1396227820527,1396227810527
10066902,77.0,1396227830527,1396227820527
10066902,78.0,1396227840527,1396227830527
10066902,79.0,1396227850527,1396227840527
10066902,80.0,1396227860527,1396227850527
10066902,81.0,1396227870527,1396227860527
10066902,82.0,1396227880527,1396227870527
10066902,83.0,1396227890527,1396227880527
10066902,84.0,1396227900527,1396227890527
10066902,85.0,1396227910527,1396227900527
10066902,86.0,1396227920527,1396227910527
10066902,87.0,1396227930527,1396227920527
10066902,88.0,1396227940527,1396227930527
10066902,89.0,1396227950527,1396227940527
10066902,90.0,1396227960527,1396227950527
10066902,91.0,1396227970527,1396227960527
10066902,92.0,1396227980527,1396227970527
10066902,93.0,1396227990527,1396227980527
10066902,94.0,1396228000527,1396227990527
10066902,95.0,1396228010527,1396228000527
10066902,96.0,1396228020527,1396228010527
10066902,97.0,1396228030527,1396228020527
10066902,98.0,1396228040527,1396228030527
10066902,99.0,1396228050527,1396228040527
10066902,100.0,1396228060527,1396228050527
10066902,101.0,1396228070527,1396228060527
10066902,102.0,1396228080527,1396228070527
10066902,103.0,1396228090527,1396228080527
10066902,104.0,1396228100527,1396228090527
10066902,105.0,1396228110527,1396228100527
10066902,106.0,1396228120527,1396228110527
10066903,0.0,1396228213272,1396228203272
10066903,1.0,1396228223272,1396228213272
10066903,2.0,1396228233272,1396228223272
10066903,3.0,1396228243272,1396228233272
10066903,4.0,1396228253272,1396228243272
10066903,5.0,1396228263272,1396228253272
10066903,6.0,1396228273272,1396228263272
10066903,7.0,1396228283272,1396228273272
10066903,8.0,1396228293272,1396228283272
10066903,9.0,1396228303272,1396228293272
10066903,10.0,1396228313272,1396228303272
10066903,11.0,1396228323272,1396228313272
10066903,12.0,1396228333272,1396228323272
10066903,13.0,1396228343272,1396228333272
10066903,14.0,1396228353272,1396228343272
10066903,15.0,1396228363272,1396228353272
