SessionID,WindowEnd,WindowNumber,WindowStart
Andres1,1541941534855,0,1541941524855
Andres1,1541941544855,1,1541941534855
Andres1,1541941554855,2,1541941544855
Andres1,1541941564855,3,1541941554855
Andres1,1541941574855,4,1541941564855
Andres1,1541941584855,5,1541941574855
Andres1,1541941594855,6,1541941584855
Andres1,1541941604855,7,1541941594855
Andres1,1541941614855,8,1541941604855
Andres1,1541941624855,9,1541941614855
Andres1,1541941634855,10,1541941624855
Andres1,1541941644855,11,1541941634855
Andres1,1541941654855,12,1541941644855
Andres1,1541941664855,13,1541941654855
Andres1,1541941674855,14,1541941664855
Andres1,1541941684855,15,1541941674855
Andres1,1541941694855,16,1541941684855
Andres1,1541941704855,17,1541941694855
Andres1,1541941714855,18,1541941704855
Andres1,1541941724855,19,1541941714855
Andres1,1541941734855,20,1541941724855
Andres1,1541941744855,21,1541941734855
Andres1,1541941754855,22,1541941744855
Andres1,1541941764855,23,1541941754855
Andres1,1541941774855,24,1541941764855
Andres1,1541941784855,25,1541941774855
Andres1,1541941794855,26,1541941784855
Andres1,1541941804855,27,1541941794855
Andres1,1541941814855,28,1541941804855
Andres1,1541941824855,29,1541941814855
Andres1,1541941834855,30,1541941824855
Andres1,1541941844855,31,1541941834855
Andres1,1541941854855,32,1541941844855
Andres1,1541941864855,33,1541941854855
Andres1,1541941874855,34,1541941864855
Andres1,1541941884855,35,1541941874855
Andres1,1541941894855,36,1541941884855
Andres1,1541941904855,37,1541941894855
Andres1,1541941914855,38,1541941904855
Andres1,1541941924855,39,1541941914855
Andres1,1541941934855,40,1541941924855
Andres1,1541941944855,41,1541941934855
Andres1,1541941954855,42,1541941944855
Andres1,1541941964855,43,1541941954855
Andres1,1541941974855,44,1541941964855
Andres1,1541941984855,45,1541941974855
Andres1,1541941994855,46,1541941984855
Andres1,1541942004855,47,1541941994855
Andres1,1541942014855,48,1541942004855
Andres1,1541942024855,49,1541942014855
Andres1,1541942034855,50,1541942024855
Andres1,1541942044855,51,1541942034855
Andres1,1541942054855,52,1541942044855
Andres1,1541942064855,53,1541942054855
Andres1,1541942074855,54,1541942064855
Carlos1,1537203672758,0,1537203662758
Carlos1,1537203682758,1,1537203672758
Carlos1,1537203692758,2,1537203682758
Carlos1,1537203702758,3,1537203692758
Carlos1,1537203712758,4,1537203702758
Carlos1,1537203722758,5,1537203712758
Carlos1,1537203732758,6,1537203722758
Carlos1,1537203742758,7,1537203732758
Carlos1,1537203752758,8,1537203742758
Carlos1,1537203762758,9,1537203752758
Carlos1,1537203772758,10,1537203762758
Carlos1,1537203782758,11,1537203772758
Carlos1,1537203792758,12,1537203782758
Carlos1,1537203802758,13,1537203792758
Carlos1,1537203812758,14,1537203802758
Carlos1,1537203822758,15,1537203812758
Carlos1,1537203832758,16,1537203822758
Carlos1,1537203842758,17,1537203832758
Carlos1,1537203852758,18,1537203842758
Carlos1,1537203862758,19,1537203852758
Carlos1,1537203872758,20,1537203862758
Carlos1,1537203882758,21,1537203872758
Carlos1,1537203892758,22,1537203882758
Carlos1,1537203902758,23,1537203892758
Carlos1,1537203912758,24,1537203902758
Carlos1,1537203922758,25,1537203912758
Carlos1,1537203932758,26,1537203922758
Carlos1,1537203942758,27,1537203932758
Carlos1,1537203952758,28,1537203942758
Carlos1,1537203962758,29,1537203952758
Carlos1,1537203972758,30,1537203962758
Carlos1,1537203982758,31,1537203972758
Carlos1,1537203992758,32,1537203982758
Carlos1,1537204002758,33,1537203992758
Carlos1,1537204012758,34,1537204002758
Carlos1,1537204022758,35,1537204012758
Carlos1,1537204032758,36,1537204022758
Carlos1,1537204042758,37,1537204032758
Carlos1,1537204052758,38,1537204042758
Carlos1,1537204062758,39,1537204052758
Carlos1,1537204072758,40,1537204062758
Carlos1,1537204082758,41,1537204072758
Carlos1,1537204092758,42,1537204082758
Carlos1,1537204102758,43,1537204092758
Carlos1,1537204112758,44,1537204102758
Carlos1,1537204122758,45,1537204112758
Carlos1,1537204132758,46,1537204122758
Carlos1,1537204142758,47,1537204132758
Carlos1,1537204152758,48,1537204142758
Carlos1,1537204162758,49,1537204152758
Carlos1,1537204172758,50,1537204162758
Carlos1,1537204182758,51,1537204172758
Carlos1,1537204192758,52,1537204182758
Carlos1,1537204202758,53,1537204192758
Carlos1,1537204212758,54,1537204202758
Carlos1,1537204222758,55,1537204212758
Carlos1,1537204232758,56,1537204222758
Carlos1,1537204242758,57,1537204232758
Carlos1,1537204252758,58,1537204242758
Carlos1,1537204262758,59,1537204252758
Carlos1,1537204272758,60,1537204262758
Carlos1,1537204282758,61,1537204272758
Carlos1,1537204292758,62,1537204282758
Carlos1,1537204302758,63,1537204292758
Carlos1,1537204312758,64,1537204302758
Carlos1,1537204322758,65,1537204312758
Carlos1,1537204332758,66,1537204322758
Carlos1,1537204342758,67,1537204332758
Carlos1,1537204352758,68,1537204342758
Carlos1,1537204362758,69,1537204352758
Carlos1,1537204372758,70,1537204362758
Carlos1,1537204382758,71,1537204372758
Carlos1,1537204392758,72,1537204382758
Carlos1,1537204402758,73,1537204392758
Carlos1,1537204412758,74,1537204402758
Carlos1,1537204422758,75,1537204412758
Carlos1,1537204432758,76,1537204422758
Carlos1,1537204442758,77,1537204432758
Diego02,1542571499107,0,1542571489107
Diego02,1542571509107,1,1542571499107
Diego02,1542571519107,2,1542571509107
Diego02,1542571529107,3,1542571519107
Diego02,1542571539107,4,1542571529107
Diego02,1542571549107,5,1542571539107
Diego02,1542571559107,6,1542571549107
Diego02,1542571569107,7,1542571559107
Diego02,1542571579107,8,1542571569107
Diego02,1542571589107,9,1542571579107
Diego02,1542571599107,10,1542571589107
Diego02,1542571609107,11,1542571599107
Diego02,1542571619107,12,1542571609107
Diego02,1542571629107,13,1542571619107
Diego02,1542571639107,14,1542571629107
Diego02,1542571649107,15,1542571639107
Diego02,1542571659107,16,1542571649107
Diego02,1542571669107,17,1542571659107
Diego02,1542571679107,18,1542571669107
Diego02,1542571689107,19,1542571679107
Diego02,1542571699107,20,1542571689107
Diego02,1542571709107,21,1542571699107
Diego02,1542571719107,22,1542571709107
Diego02,1542571729107,23,1542571719107
Diego02,1542571739107,24,1542571729107
Diego02,1542571749107,25,1542571739107
Diego02,1542571759107,26,1542571749107
Diego02,1542571769107,27,1542571759107
Diego02,1542571779107,28,1542571769107
Diego02,1542571789107,29,1542571779107
Diego02,1542571799107,30,1542571789107
Diego02,1542571809107,31,1542571799107
Diego02,1542571819107,32,1542571809107
Diego02,1542571829107,33,1542571819107
Diego02,1542571839107,34,1542571829107
Diego03,1542575203237,0,1542575193237
Diego03,1542575213237,1,1542575203237
Diego03,1542575223237,2,1542575213237
Diego03,1542575233237,3,1542575223237
Diego03,1542575243237,4,1542575233237
Diego03,1542575253237,5,1542575243237
Diego03,1542575263237,6,1542575253237
Diego03,1542575273237,7,1542575263237
Diego03,1542575283237,8,1542575273237
Diego03,1542575293237,9,1542575283237
Diego03,1542575303237,10,1542575293237
Diego03,1542575313237,11,1542575303237
Diego03,1542575323237,12,1542575313237
Diego03,1542575333237,13,1542575323237
Diego03,1542575343237,14,1542575333237
Diego03,1542575353237,15,1542575343237
Diego03,1542575363237,16,1542575353237
Diego03,1542575373237,17,1542575363237
Diego03,1542575383237,18,1542575373237
Diego03,1542575393237,19,1542575383237
Diego03,1542575403237,20,1542575393237
Diego03,1542575413237,21,1542575403237
Diego03,1542575423237,22,1542575413237
Diego03,1542575433237,23,1542575423237
Diego03,1542575443237,24,1542575433237
Diego03,1542575453237,25,1542575443237
Diego03,1542575463237,26,1542575453237
Diego03,1542575473237,27,1542575463237
Diego03,1542575483237,28,1542575473237
Diego03,1542575493237,29,1542575483237
Diego03,1542575503237,30,1542575493237
Diego03,1542575513237,31,1542575503237
Diego03,1542575523237,32,1542575513237
Diego03,1542575533237,33,1542575523237
Diego03,1542575543237,34,1542575533237
Diego03,1542575553237,35,1542575543237
Diego04,1540766950175,0,1540766940175
Diego04,1540766960175,1,1540766950175
Diego04,1540766970175,2,1540766960175
Diego04,1540766980175,3,1540766970175
Diego04,1540766990175,4,1540766980175
Diego04,1540767000175,5,1540766990175
Diego04,1540767010175,6,1540767000175
Diego04,1540767020175,7,1540767010175
Diego04,1540767030175,8,1540767020175
Diego04,1540767040175,9,1540767030175
Diego04,1540767050175,10,1540767040175
Diego04,1540767060175,11,1540767050175
Diego04,1540767070175,12,1540767060175
Diego04,1540767080175,13,1540767070175
Diego04,1540767090175,14,1540767080175
Diego04,1540767100175,15,1540767090175
Diego04,1540767110175,16,1540767100175
Diego04,1540767120175,17,1540767110175
Diego04,1540767130175,18,1540767120175
Diego04,1540767140175,19,1540767130175
Diego04,1540767150175,20,1540767140175
Diego04,1540767160175,21,1540767150175
Diego04,1540767170175,22,1540767160175
Diego04,1540767180175,23,1540767170175
Diego04,1540767190175,24,1540767180175
Diego04,1540767200175,25,1540767190175
Diego04,1540767210175,26,1540767200175
Diego04,1540767220175,27,1540767210175
Diego04,1540767230175,28,1540767220175
Diego04,1540767240175,29,1540767230175
Diego04,1540767250175,30,1540767240175
Diego04,1540767260175,31,1540767250175
Diego04,1540767270175,32,1540767260175
Diego04,1540767280175,33,1540767270175
Diego04,1540767290175,34,1540767280175
Diego04,1540767300175,35,1540767290175
Diego04,1540767310175,36,1540767300175
Diego04,1540767320175,37,1540767310175
Diego04,1540767330175,38,1540767320175
Diego04,1540767340175,39,1540767330175
Diego04,1540767350175,40,1540767340175
Diego04,1540767360175,41,1540767350175
Diego04,1540767370175,42,1540767360175
Diego04,1540767380175,43,1540767370175
Diego04,1540767390175,44,1540767380175
Diego05,1542491743882,0,1542491733882
Diego05,1542491753882,1,1542491743882
Diego05,1542491763882,2,1542491753882
Diego05,1542491773882,3,1542491763882
Diego05,1542491783882,4,1542491773882
Diego05,1542491793882,5,1542491783882
Diego05,1542491803882,6,1542491793882
Diego05,1542491813882,7,1542491803882
Diego05,1542491823882,8,1542491813882
Diego05,1542491833882,9,1542491823882
Diego05,1542491843882,10,1542491833882
Diego05,1542491853882,11,1542491843882
Diego05,1542491863882,12,1542491853882
Diego05,1542491873882,13,1542491863882
Diego05,1542491883882,14,1542491873882
Diego05,1542491893882,15,1542491883882
Diego05,1542491903882,16,1542491893882
Diego05,1542491913882,17,1542491903882
Diego05,1542491923882,18,1542491913882
Diego05,1542491933882,19,1542491923882
Diego05,1542491943882,20,1542491933882
Diego05,1542491953882,21,1542491943882
Diego05,1542491963882,22,1542491953882
Diego05,1542491973882,23,1542491963882
Diego05,1542491983882,24,1542491973882
Diego05,1542491993882,25,1542491983882
Diego05,1542492003882,26,1542491993882
Diego05,1542492013882,27,1542492003882
Diego05,1542492023882,28,1542492013882
Diego05,1542492033882,29,1542492023882
Diego05,1542492043882,30,1542492033882
Diego05,1542492053882,31,1542492043882
Diego05,1542492063882,32,1542492053882
Diego05,1542492073882,33,1542492063882
Diego05,1542492083882,34,1542492073882
Diego05,1542492093882,35,1542492083882
Diego05,1542492103882,36,1542492093882
Diego05,1542492113882,37,1542492103882
Diego05,1542492123882,38,1542492113882
Diego05,1542492133882,39,1542492123882
Diego05,1542492143882,40,1542492133882
Diego05,1542492153882,41,1542492143882
Diego05,1542492163882,42,1542492153882
Diego05,1542492173882,43,1542492163882
Diego05,1542492183882,44,1542492173882
Diego05,1542492193882,45,1542492183882
Diego05,1542492203882,46,1542492193882
Diego05,1542492213882,47,1542492203882
Diego05,1542492223882,48,1542492213882
Diego05,1542492233882,49,1542492223882
Diego05,1542492243882,50,1542492233882
Diego06,1542579780816,0,1542579770816
Diego06,1542579790816,1,1542579780816
Diego06,1542579800816,2,1542579790816
Diego06,1542579810816,3,1542579800816
Diego06,1542579820816,4,1542579810816
Diego06,1542579830816,5,1542579820816
Diego06,1542579840816,6,1542579830816
Diego06,1542579850816,7,1542579840816
Diego06,1542579860816,8,1542579850816
Diego06,1542579870816,9,1542579860816
Diego06,1542579880816,10,1542579870816
Diego06,1542579890816,11,1542579880816
Diego06,1542579900816,12,1542579890816
Diego06,1542579910816,13,1542579900816
Diego06,1542579920816,14,1542579910816
Diego06,1542579930816,15,1542579920816
Diego06,1542579940816,16,1542579930816
Diego06,1542579950816,17,1542579940816
Diego06,1542579960816,18,1542579950816
Diego06,1542579970816,19,1542579960816
Diego06,1542579980816,20,1542579970816
Diego06,1542579990816,21,1542579980816
Diego06,1542580000816,22,1542579990816
Diego06,1542580010816,23,1542580000816
Diego06,1542580020816,24,1542580010816
Diego06,1542580030816,25,1542580020816
Diego06,1542580040816,26,1542580030816
Diego06,1542580050816,27,1542580040816
Diego06,1542580060816,28,1542580050816
Diego07,1542582900205,0,1542582890205
Diego07,1542582910205,1,1542582900205
Diego07,1542582920205,2,1542582910205
Diego07,1542582930205,3,1542582920205
Diego07,1542582940205,4,1542582930205
Diego07,1542582950205,5,1542582940205
Diego07,1542582960205,6,1542582950205
Diego07,1542582970205,7,1542582960205
Diego07,1542582980205,8,1542582970205
Diego07,1542582990205,9,1542582980205
Diego07,1542583000205,10,1542582990205
Diego07,1542583010205,11,1542583000205
Diego07,1542583020205,12,1542583010205
Diego07,1542583030205,13,1542583020205
Diego07,1542583040205,14,1542583030205
Diego07,1542583050205,15,1542583040205
Diego07,1542583060205,16,1542583050205
Diego07,1542583070205,17,1542583060205
Diego07,1542583080205,18,1542583070205
Diego07,1542583090205,19,1542583080205
Diego07,1542583100205,20,1542583090205
Diego07,1542583110205,21,1542583100205
Diego07,1542583120205,22,1542583110205
Diego07,1542583130205,23,1542583120205
